File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
TheFishermanAndHisWife.txt,59,16.16949153,4.957023061,954,375,165,2,0,0,208,1.411949686,0,0,4,0,0,1,9,86,5,4,7,104,0,0,40,0,1,0,26,1,0,0,0,0,0,8,31,17,10,11,10,0,0,0,0,1
KingHenryIVtheFirstPart.txt,2447,5.545565999,5.175165807,13570,3571,2024,132,20,0,1395,1.482977155,0,2,12,6,0,3,42,692,15,35,7,1282,0,0,480,0,3,0,189,6,1,6,0,0,1,120,182,160,101,155,67,1,1,1,1,3
M2LF.txt,5719,5.710438888,5.566354339,32658,6706,4233,498,122,22,1831,1.673219426,0,3,13,5,1,4,60,1351,34,31,7,2064,2,0,802,0,1,2,447,8,0,3,0,0,0,178,623,496,269,176,115,4,2,1,4,2
THE QUEEN BEE.txt,23,16.30434783,5.106666667,375,218,85,1,1,0,131,1.405333333,0,0,4,0,0,0,1,47,1,4,6,55,0,0,23,0,0,0,18,1,0,0,0,0,0,10,23,8,9,6,1,0,0,1,0,1
Cattle Diseases.txt,10792,11.68346924,6.500039655,126088,10906,6797,1555,455,59,2040,2.097186092,0,4,12,5,0,25,75,2417,30,37,7,3202,34,0,1531,0,4,0,565,19,1,3,0,0,0,264,684,830,356,490,306,1,0,1,3,3
Declaration US Independence.txt,685,11.52992701,6.574955685,7898,2657,1704,279,62,11,601,2.110154469,0,1,10,3,1,4,29,536,12,8,8,843,4,0,348,1,2,0,140,5,0,2,0,0,0,141,160,132,105,117,42,0,1,1,1,3
Frankenstein.txt,3075,11.26764228,6.366572385,34648,6840,4505,747,146,16,1426,1.989003694,0,4,12,2,0,11,49,1511,22,43,7,1957,3,0,857,0,4,0,376,10,1,5,0,0,0,216,618,467,331,226,103,1,1,1,2,3
Source Book Australian History.txt,2902,14.28807719,6.309111518,41464,8136,5323,856,179,28,1750,1.973326259,0,1,12,3,0,12,64,1571,24,42,8,2438,4,0,1240,0,4,0,441,13,0,2,0,0,0,199,624,609,297,351,172,2,0,1,2,3
Laugh and Play.txt,577,7.006932409,5.246846401,4043,1519,790,41,6,1,681,1.52287905,0,1,7,3,0,0,22,277,7,11,7,473,1,0,171,0,1,0,133,3,0,0,0,0,0,50,128,102,65,38,18,0,0,1,0,1
TheGoldenBird.txt,54,20.05555556,4.925207756,1083,419,187,1,0,0,231,1.394275162,0,0,5,2,0,0,8,72,1,2,6,125,0,0,28,0,1,0,34,1,0,2,0,0,1,19,48,25,21,14,4,0,0,0,0,1
Argentina British.txt,2423,13.87205943,6.030435559,33612,7553,4866,670,148,21,1848,1.870909199,0,4,11,4,0,13,71,1462,35,36,8,2214,3,0,1238,0,1,0,437,11,0,4,0,0,0,159,561,543,262,283,188,1,1,1,2,2
First Discovery Australia.txt,1154,11.97487002,6.022360518,13819,3826,2419,313,59,8,1027,1.886677763,0,1,11,4,0,48,47,747,14,15,8,1153,7,0,585,0,1,0,206,3,0,6,0,0,0,88,299,194,149,166,70,2,0,1,1,2
Resurrection.txt,8001,10.06711661,6.003091363,80547,9173,5945,866,203,28,2131,1.848697034,0,6,14,5,1,18,58,1831,38,45,8,2704,41,0,1252,0,5,1,590,18,0,9,0,0,1,186,738,785,383,274,153,4,3,1,1,3
